Canton,Taux de chomage,Chomeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chomeurs
Zurich,3.3,27'225,34'156,6'931
Berne,2.4,13'658,18'385,4'727
Lucerne,1.7,3'885,6'756,2'871
Uri,0.6,112,257,145
Schwyz,1.7,1'455,2'229,774
Obwald,0.7,153,319,166
Nidwald,1,248,436,188
Glaris,1.8,416,713,297
Zoug,2.3,1'543,2'615,1'072
Fribourg,2.7,4'466,7'837,3'371
Soleure,2.6,3'801,6'628,2'827
Bâle-Ville,3.5,3'455,5'168,1'713
Bâle-Campagne,2.8,4'082,5'540,1'458
Schaffhouse,3,1'286,2'328,1'042
Appenzell Rhodes-Extérieures,1.7,523,866,343
Appenzell Rhodes-Intérieures,0.7,62,102,40
St-Gall,2.2,6'127,10'363,4'236
Grisons,1.1,1'166,2'590,1'424
Argovie,2.9,10'684,15'145,4'461
Thurgovie,2,3'058,5'618,2'560
Tessin,3.1,5'202,8'675,3'473
Vaud,4.3,17'155,24'649,7'494
Valais,2.8,4'816,8'027,3'211
Neuchâtel,5.1,4'738,6'350,1'612
Genève,5.2,12'234,15'497,3'263
Jura,4.4,1'619,2'375,756
Total,3,133'169,193'624,60'455
